groupID,subjectID,Type,trialID,P,T_ms,W_ms,Label,Press,Correct,RT_ms,condition_label
1,10,empirical,31,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,33,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,35,0,30,300,stranger,1,1,311.872399994172,"P=0,T=30,W=300"
1,10,empirical,37,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,38,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,41,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,42,0,30,300,stranger,1,0,233.03450003732,"P=0,T=30,W=300"
1,10,empirical,45,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,48,0,30,300,stranger,1,0,232.932800019626,"P=0,T=30,W=300"
1,10,empirical,51,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,52,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,53,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,55,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,57,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,60,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,63,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,64,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,65,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,67,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,69,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,72,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,74,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,76,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,77,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,79,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,81,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,83,0,30,300,self,1,0,279.545299999882,"P=0,T=30,W=300"
1,10,empirical,86,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,88,0,30,300,self,1,1,233.518299995922,"P=0,T=30,W=300"
1,10,empirical,90,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,92,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,94,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,96,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,97,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,100,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,101,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,103,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,105,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,106,0,30,300,self,1,1,233.308199967723,"P=0,T=30,W=300"
1,10,empirical,109,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,112,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,114,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,115,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,117,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,119,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,123,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,124,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,126,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,128,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,129,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,130,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,134,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,135,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,138,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,140,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,141,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,142,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,146,0,30,300,self,0,0,,"P=0,T=30,W=300"
1,10,empirical,147,0,30,300,stranger,0,0,,"P=0,T=30,W=300"
1,10,empirical,149,0,30,300,self,0,0,,"P=0,T=30,W=300"
